,constellation,signal_path,satellite_coverage_area_km,path_loss,losses,antenna_gain,eirp_dB,noise,received_power_dB,cnr,spectral_efficiency,channel_capacity,agg_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm,total_cost_ownership,cost_per_capacity,aluminium_oxide_emissions_t,sulphur_oxide_emissions_t,carbon_oxide_emissions_t,cfc_gases_emissions_t,particulate_matter_emissions_t,photochemical_oxidation_emissions_t,total_emissions_t
37,OneWeb,1268.4909266489187,708333.3333333334,177.12242267220375,14.586406072066929,35.203311345176644,65.20331134517664,-89.99782907027767,-95.20402659757383,-5.206197527296155,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1537516210.9207566,168013034.13207912,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
38,Kuiper,640.3337593267506,157601.97775030902,173.53759330860208,17.150484116149695,37.34788621102466,67.34788621102466,-89.99782907027767,-91.29220184189913,-1.294372771621454,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1184167735.992217,581584082.6813952,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
39,Starlink,575.1632151255149,115254.2372881356,170.25249742432112,13.63741805964638,39.901711384076734,69.90171138407673,-89.99782907027767,-92.96826561625606,-2.9704365459783872,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1080302288.4698484,362759964.15145653,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
40,OneWeb,1259.647200686897,708333.3333333334,177.06165388737674,18.655184645450817,35.06457882378869,65.0645788237887,-89.99782907027767,-100.02526357074235,-10.027434500464679,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1554478122.574295,169866557.51046655,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
41,Kuiper,634.7637144887119,157601.97775030902,173.4617071845802,17.388439378802655,38.9117122967029,68.9117122967029,-89.99782907027767,-87.18648035799448,2.8113487122831913,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1183570530.9881794,581290775.4801524,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
42,Starlink,566.5586208296639,115254.2372881356,170.12157241427775,10.251981694805524,39.05127083207836,69.05127083207836,-89.99782907027767,-82.56750641441877,7.430322655858902,2.10485,1052.425,16838.8,16838.8,0.14610135294117646,1027057247.4085317,269896211.11853296,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
43,OneWeb,1266.6121625974079,708333.3333333334,177.10954845006012,16.107428276033353,38.255765858087386,68.25576585808739,-89.99782907027767,-84.34293012034385,5.654898949933823,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1385048790.112545,151352062.49852514,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
44,Kuiper,637.2914070700515,157601.97775030902,173.49622658125594,14.156165881538053,42.029041973144004,72.029041973144,-89.99782907027767,-84.20203615454126,5.795792915736413,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1325642843.2338893,651067204.0049614,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
45,Starlink,575.0178691516828,115254.2372881356,170.25030218911786,16.724256550857987,29.119147727418593,59.11914772741859,-89.99782907027767,-93.01417719385482,-3.0163481235771457,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,983713108.0959716,330325813.09594476,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
46,OneWeb,1268.0245440523986,708333.3333333334,177.11922856770764,19.24324494605659,37.63181601354088,67.63181601354088,-89.99782907027767,-102.36432977641397,-12.366500706136293,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1498306311.2626147,163728348.11525097,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
47,Kuiper,627.6387762964903,157601.97775030902,173.36366066700697,21.18000208866673,44.838349456697095,74.8383494566971,-89.99782907027767,-89.14944120087748,0.8483878694001987,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1127919123.0356555,553958521.7290591,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
48,Starlink,574.3484205182718,115254.2372881356,170.240183991611,19.037214635153305,40.41580194994144,70.41580194994144,-89.99782907027767,-85.76507540535654,4.232753664921134,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1149630706.2695262,386040091.04196835,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
49,OneWeb,1275.8993737404946,708333.3333333334,177.1730038551645,19.632967333643144,35.27670316605545,65.27670316605546,-89.99782907027767,-106.42115584111693,-16.423326770839253,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1719203100.4625187,187866981.2690987,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
50,Kuiper,648.3886197567157,157601.97775030902,173.64617300108932,16.270872002848826,39.50594278800851,69.50594278800851,-89.99782907027767,-92.22727562762739,-2.2294465573497178,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1254632542.3148243,616191688.0913817,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
51,Starlink,573.3351710424695,115254.2372881356,170.22484705446442,5.309721764004412,36.413296616804125,66.41329661680413,-89.99782907027767,-79.64639585002197,10.3514332202557,2.745734,1372.867,21965.872,21965.872,0.19058624235294117,1077154501.6813135,216991552.62034726,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
52,OneWeb,1264.8585761234417,708333.3333333334,177.09751476477862,15.43030672693538,33.46098064489012,63.46098064489012,-89.99782907027767,-96.198490646973,-6.200661576695325,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1547588861.4748688,169113729.24626923,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
53,Kuiper,632.3362397727724,157601.97775030902,173.42842677412506,17.94114465718693,39.05916377152582,69.05916377152582,-89.99782907027767,-93.44009797335056,-3.442268903072886,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1229819989.7977185,604005419.9166678,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
54,Starlink,571.4786312176626,115254.2372881356,170.1966752870321,8.890585941160966,38.397313024477924,68.39731302447792,-89.99782907027767,-77.5736053802319,12.424223690045778,3.510192,1755.096,28081.536,28081.536,0.24364862117647057,954155406.8528931,150352803.89662632,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
55,OneWeb,1268.6562658194614,708333.3333333334,177.12355474521394,17.228958629525415,28.796144001906697,58.7961440019067,-89.99782907027767,-116.26690261794377,-26.269073547666096,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1556127825.5868928,170046829.82668322,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
56,Kuiper,639.5383383650839,157601.97775030902,173.52679701164317,16.92755885891233,42.44260043243358,72.44260043243358,-89.99782907027767,-94.22780432190865,-4.229975251630975,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1203011228.3372948,590838747.2672727,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
57,Starlink,577.3351146877633,115254.2372881356,170.28523482932147,9.616731936839383,33.651273861468084,63.651273861468084,-89.99782907027767,-80.17157135890992,9.82625771136776,2.745734,1372.867,21965.872,21965.872,0.19058624235294117,1154070338.1718497,232486160.640945,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
58,OneWeb,1272.2603430587947,708333.3333333334,177.14819517460722,13.42972387749342,37.90500557222275,67.90500557222275,-89.99782907027767,-94.6270464472218,-4.629217376944126,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1340709086.056879,146506813.93594277,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
59,Kuiper,628.4811516586996,157601.97775030902,173.37531047918395,13.600149506279068,40.60579379142382,70.60579379142382,-89.99782907027767,-88.38964234823028,1.6081867220473924,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1176093291.6928482,577618455.0610178,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
60,Starlink,571.2325831209228,115254.2372881356,170.1929348027354,14.038228571723643,29.2748684980824,59.2748684980824,-89.99782907027767,-98.13965838485655,-8.141829314578871,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1079028907.5673847,362332369.37964207,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
61,OneWeb,1272.5139433035092,708333.3333333334,177.14992636446453,16.222964545136104,32.59176002123764,62.59176002123764,-89.99782907027767,-103.0580905328653,-13.060261462587619,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1583896530.000646,173081272.16253188,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
62,Kuiper,637.4349287660937,157601.97775030902,173.49818247344245,10.251731045331347,42.620276559614894,72.6202765596149,-89.99782907027767,-86.43103257995463,3.5667964903230427,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1329408780.4306326,652916780.7696657,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
63,Starlink,564.8429485962619,115254.2372881356,170.09522959931485,5.573223073530709,27.726065375475816,57.72606537547581,-89.99782907027767,-86.81699043413622,3.180838636141459,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1031798993.689105,346472806.6922126,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
64,OneWeb,1265.8999599614401,708333.3333333334,177.1046630925777,15.243047718419659,32.85740192879149,62.85740192879149,-89.99782907027767,-100.07633766809423,-10.078508597816551,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1558725561.6650925,170330699.04202718,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
65,Kuiper,643.3203918922115,157601.97775030902,173.57801168387965,19.859787878714727,44.08264664258883,74.08264664258883,-89.99782907027767,-87.11642360363926,2.8814054666384123,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1069716215.774959,525373141.9726688,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
66,Starlink,568.0237826814396,115254.2372881356,170.1440057626268,12.695090666518059,29.456949459400338,59.456949459400334,-89.99782907027767,-90.3050266646786,-0.3071975944009324,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1143881681.1222825,384109597.9026139,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
67,OneWeb,1261.8542296786584,708333.3333333334,177.0768591257454,11.93228514202719,42.33384017704,72.33384017704,-89.99782907027767,-81.0614725074357,8.93635656284198,2.524739,631.18475,10098.956,10098.956,0.014257349647058822,1473291573.9218633,105037583.41196273,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
68,Kuiper,638.5227853555672,157601.97775030902,173.5129933161286,17.27841595330515,40.968271316848295,70.9682713168483,-89.99782907027767,-88.8954358174706,1.102393252807076,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1200486667.762321,589598851.7680598,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
69,Starlink,581.0010710940157,115254.2372881356,170.34021403058136,9.147702210103333,41.93491404073498,71.93491404073498,-89.99782907027767,-83.23659032628761,6.761238743990063,1.972253,986.1265,15778.024,15778.024,0.1368975611764706,1065977038.3248814,298956852.55565596,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
70,OneWeb,1273.1975433860564,708333.3333333334,177.15459120963533,18.143045039568324,36.89387835558856,66.89387835558855,-89.99782907027767,-102.41471962729823,-12.416890557020551,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1516042487.9327435,165666479.7818214,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
71,Kuiper,633.1500548673905,157601.97775030902,173.43959830416878,14.404281494164568,44.48357485414019,74.48357485414019,-89.99782907027767,-82.6452861630533,7.352542907224375,2.10485,526.2125,8419.4,8419.4,0.05342191843137255,1067355281.9164643,410238460.25627464,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
72,Starlink,572.8582678027789,115254.2372881356,170.21761907889373,10.989599049824946,36.85155793562852,66.85155793562852,-89.99782907027767,-86.78996604875424,3.207863021523437,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1021751294.3063133,343098840.8061745,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
73,OneWeb,1264.6648684449372,708333.3333333334,177.0961844561576,16.90904779877377,35.05882574687801,65.058825746878,-89.99782907027767,-101.54822844978878,-11.550399379511106,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1565066122.2836125,171023567.72207704,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
74,Kuiper,636.9908564451365,157601.97775030902,173.49212929502102,12.557661134395792,42.47095837143438,72.47095837143438,-89.99782907027767,-85.9250343744093,4.072794695868382,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1199532703.2574658,589130328.1336088,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
75,Starlink,578.683747897322,115254.2372881356,170.3055010808301,11.935174003679412,37.148902081092885,67.14890208109288,-89.99782907027767,-84.10339335959519,5.894435710682487,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1099184582.3830953,369100541.5400028,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
76,OneWeb,1263.8672080662272,708333.3333333334,177.09070428819433,11.90777819155601,42.30733193951436,72.30733193951437,-89.99782907027767,-88.47402113911205,1.5238079311656207,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1460114379.1881592,159554901.13523322,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
77,Kuiper,641.8506347920144,157601.97775030902,173.55814482833503,12.843386675933203,44.571740927006054,74.57174092700606,-89.99782907027767,-91.16600965471366,-1.1681805844359872,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1169674154.6906588,574465803.8009356,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
78,Starlink,567.1496624237828,115254.2372881356,170.13062892828503,10.14485718630315,37.68040959201492,67.68040959201491,-89.99782907027767,-78.50220051317145,11.49562855710623,2.856231,1428.1155,22849.848,22849.848,0.19825603411764706,1119803818.0098054,216856230.05865896,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
79,OneWeb,1262.586973692615,708333.3333333334,177.08190145667265,14.443037337873399,38.52803193931732,68.52803193931732,-89.99782907027767,-88.77833241345488,1.2194966568227983,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1430952227.4860926,156368188.9858049,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
