,constellation,losses,path_loss,antenna_gain,earth_atmospheric_losses,distance,satellite_coverage_area_km,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,aggregate_capacity,sat_capacity
44,Kuiper,16.74242415649859,173.53605558870913,44.633115795089395,16.21242415649859,641.4451277013894,157407.40740740742,74.6331157950894,-89.99782907027767,-75.99339772256947,14.004431347708206,3.841226,960.3065,15364.904,15364.903999999999
45,Starlink,13.642247312166138,170.2893048503846,37.71660620961572,13.112247312166138,572.5361290325869,101190.47619047618,67.71660620961572,-89.99782907027767,-89.86168542670292,0.13614364357475495,1.647211,823.6055,13177.688,13177.688
46,OneWeb,13.388376946159315,177.13079152050562,37.301012109141894,12.858376946159316,1271.645915077516,708333.3333333334,67.3010121091419,-89.99782907027767,-73.47594733726287,16.52188173301481,4.603122,1150.7805,18412.488,18412.488
47,Kuiper,11.29759325332093,173.5250706524576,42.7143982454222,10.76759325332093,641.4451277013894,157407.40740740742,72.7143982454222,-89.99782907027767,-75.61826015600757,14.37956891427011,3.841226,960.3065,15364.904,15364.903999999999
48,Starlink,10.12629368377315,170.145413273222,40.35344103102823,9.596293683773151,572.5361290325869,101190.47619047618,70.35344103102824,-89.99782907027767,-74.38274620435632,15.615082865921352,4.338659,2169.3295,34709.272,34709.272
49,OneWeb,13.417183240338565,177.2017337303372,36.71704148783165,12.887183240338565,1271.645915077516,708333.3333333334,66.71704148783165,-89.99782907027767,-81.19832369013419,8.799505380143486,2.524739,631.18475,10098.956,10098.956
50,Kuiper,15.161380508431385,173.7332233969674,43.797806121067026,14.631380508431386,641.4451277013894,157407.40740740742,73.79780612106703,-89.99782907027767,-72.26437830643934,17.733450763838334,4.936639,1234.15975,19746.556,19746.556
51,Starlink,14.408513330223913,170.19635243315253,37.80688281315888,13.878513330223914,572.5361290325869,101190.47619047618,67.80688281315888,-89.99782907027767,-79.72215572450801,10.275673345769661,2.745734,1372.867,21965.872,21965.872
52,OneWeb,13.366367181618353,177.19713621267442,36.46800201211775,12.836367181618353,1271.645915077516,708333.3333333334,66.46800201211775,-89.99782907027767,-91.00655343148497,-1.0087243612072996,1.647211,411.80275,6588.844,6588.844
53,Kuiper,8.2380103336358,173.58306110258025,44.35974501060486,7.708010333635801,641.4451277013894,157407.40740740742,74.35974501060485,-89.99782907027767,-67.98192621226067,22.015902858017,5.768987,1442.24675,23075.948,23075.948
